	Tput(Mbps)	config
415493	1163.808	mmWave-Drive
416119	1091.475	mmWave-Drive
416688	1159.148	mmWave-Drive
417312	1226.576	mmWave-Drive
417939	1165.368	mmWave-Drive
418547	1154.799	mmWave-Drive
419159	1147.403	mmWave-Drive
419776	1154.172	mmWave-Drive
420378	1100.995	mmWave-Drive
420975	1216.182	mmWave-Drive
421597	1165.963	mmWave-Drive
422214	1140.944	mmWave-Drive
422816	1096.298	mmWave-Drive
423409	1218.827	mmWave-Drive
424044	1087.586	mmWave-Drive
424635	1228.736	mmWave-Drive
425248	1157.211	mmWave-Drive
425871	1162.018	mmWave-Drive
426482	1088.378	mmWave-Drive
427075	1160.636	mmWave-Drive
427684	1159.897	mmWave-Drive
428300	1221.437	mmWave-Drive
428921	1089.625	mmWave-Drive
429514	1230.497	mmWave-Drive
430137	1150.233	mmWave-Drive
430757	1169.382	mmWave-Drive
431367	1091.344	mmWave-Drive
431956	1210.715	mmWave-Drive
432593	1172.202	mmWave-Drive
433195	1163.506	mmWave-Drive
433806	1139.551	mmWave-Drive
434415	1161.575	mmWave-Drive
435025	1090.191	mmWave-Drive
435617	1211.551	mmWave-Drive
436248	1151.581	mmWave-Drive
436868	1160.982	mmWave-Drive
437471	1092.943	mmWave-Drive
438064	1224.451	mmWave-Drive
438698	1156.699	mmWave-Drive
439299	1086.561	mmWave-Drive
439907	1227.142	mmWave-Drive
