EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:26.583		purple	blue	
	2024-01-25 08:36:27.071	1.16		blue	1.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:27.220		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:27.252		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:27.256		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:27.257		blue	blue	
	2024-01-25 08:36:28.071	4.097		blue	5.0
	2024-01-25 08:36:29.071	3.034		blue	5.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:29.364		purple	blue	
	2024-01-25 08:36:30.071	5.972		blue	6.0
	2024-01-25 08:36:31.071	5.175		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:31.942		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:31.947		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:31.948		blue	blue	
	2024-01-25 08:36:32.071	4.085		blue	6.0
	2024-01-25 08:36:33.071	3.05		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:33.984		purple	blue	
	2024-01-25 08:36:34.071	0.621		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:34.077		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:34.080		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:34.088		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:34.856		purple	blue	
	2024-01-25 08:36:35.071	5.149		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:35.889		blue	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:35.894		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:35.894		purple	blue	
	2024-01-25 08:36:36.071	4.113		blue	5.0
	2024-01-25 08:36:37.071	3.05		blue	5.0
	2024-01-25 08:36:38.071	1.988		blue	5.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:38.967		purple	blue	
	2024-01-25 08:36:39.071	1.191		blue	5.0
BUFFER_EMPTY	2024-01-25 08:36:39.998	0.0	red	red	
	2024-01-25 08:36:40.071	4.036		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:40.087		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:40.091		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:40.092		blue	blue	
	2024-01-25 08:36:41.071	3.287		blue	3.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:41.221		purple	blue	
	2024-01-25 08:36:42.071	6.491		blue	6.0
	2024-01-25 08:36:43.071	5.428		blue	6.0
	2024-01-25 08:36:44.071	4.366		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:44.276		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:44.278		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:44.288		blue	blue	
	2024-01-25 08:36:45.071	3.303		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:45.606		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:45.673		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:45.676		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:45.677		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:45.871		purple	blue	
	2024-01-25 08:36:46.071	6.365		blue	6.0
	2024-01-25 08:36:47.071	5.397		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:47.884		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:47.888		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:47.889		blue	blue	
	2024-01-25 08:36:48.071	4.334		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:48.503		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:48.538		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:48.541		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:48.541		blue	blue	
	2024-01-25 08:36:49.071	3.272		blue	5.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:50.122		purple	blue	
	2024-01-25 08:36:50.135	2.475		blue	5.0
	2024-01-25 08:36:51.071	5.412		blue	6.0
	2024-01-25 08:36:52.071	4.35		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:52.203		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:52.207		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:52.207		blue	blue	
	2024-01-25 08:36:53.071	3.287		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:53.977		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:54.066		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:54.070		purple	blue	
	2024-01-25 08:36:54.071	2.262		blue	2.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:54.071		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:54.748		purple	blue	
	2024-01-25 08:36:55.071	5.272		blue	6.0
	2024-01-25 08:36:56.071	4.366		blue	6.0
