Config	tput	cqi
100	0.001	6.17
100	0.002	7.0
100	0.001	6.0
100	0.001	5.5
100	0.004	7.0
100	0.005	6.5
100	0.005	7.5
100	0.005	5.33
100	0.004	6.71
100	0.003	7.0
100	0.003	5.67
100	0.002	6.17
100	0.001	3.33
100	0.002	4.43
100	0.001	3.83
100	0.001	4.5
100	0.001	4.33
100	0.001	4.67
100	0.001	6.29
100	0.001	6.17
100	0.006	6.5
100	0.003	7.0
100	0.008	6.0
100	0.004	7.17
100	0.003	7.17
100	0.003	6.71
100	0.007	7.5
100	0.003	7.83
100	0.002	8.17
100	0.005	7.2
100	0.002	8.25
100	0.001	8.0
100	0.005	8.17
100	0.002	9.14
100	0.001	9.67
100	0.011	9.17
100	0.003	9.0
100	0.002	8.57
100	0.003	8.67
100	0.004	8.67
100	0.241	7.86
100	0.008	7.17
100	0.003	6.83
100	2.633	6.29
100	2.753	5.67
100	1.141	6.2
100	5.352	5.17
100	5.51	5.33
100	5.844	5.57
100	6.184	5.83
100	4.926	4.83
100	3.478	5.0
100	0.036	6.5
100	0.002	7.0
100	0.002	6.5
100	0.001	5.5
100	0.003	6.14
100	0.277	4.33
100	0.324	4.67
100	0.001	4.83
100	0.002	6.0
100	0.001	5.17
100	0.001	6.71
100	0.001	8.83
100	0.001	8.83
100	0.001	9.17
100	0.001	9.0
100	0.001	9.67
100	0.001	9.5
100	0.001	9.5
100	0.001	8.57
100	0.002	7.2
100	0.001	8.57
100	0.001	8.67
100	0.001	8.86
100	0.001	7.0
100	0.002	8.17
100	0.009	6.0
100	0.004	6.71
100	0.001	7.5
100	0.001	4.2
100	0.001	5.29
100	0.003	3.71
100	0.002	3.33
100	0.001	8.33
100	0.001	7.5
100	0.006	6.6
100	0.006	7.13
100	0.005	6.83
100	0.002	8.43
100	0.006	8.17
100	0.003	5.5
100	0.002	8.33
100	0.009	8.67
100	0.003	7.86
100	0.005	7.67
100	0.001	8.17
100	0.006	8.17
100	0.004	9.29
100	0.003	7.5
100	0.004	5.33
100	0.003	6.14
100	0.006	6.5
100	0.004	6.5
100	0.003	6.33
100	0.004	8.29
100	0.002	9.5
100	0.002	7.5
100	0.004	6.67
100	0.001	6.67
100	0.005	7.43
100	0.003	8.83
100	0.001	4.33
100	0.003	6.67
100	0.003	5.71
100	0.006	4.5
100	0.003	5.0
100	0.003	4.0
100	0.008	4.25
100	0.002	6.33
100	0.004	9.0
100	0.003	4.5
100	0.002	3.43
100	0.002	2.83
100	0.003	4.33
100	0.002	6.5
100	0.002	5.43
100	0.005	5.8
100	0.003	6.14
100	0.002	5.67
100	0.001	5.86
100	0.003	5.83
100	0.002	6.67
100	0.003	7.5
100	0.001	5.14
100	0.002	5.33
100	0.003	5.83
100	0.003	5.17
100	0.003	6.5
100	0.002	5.86
100	0.001	4.83
100	0.003	4.86
