Config	tput	cqi
100	8.253	12.57
100	4.711	14.67
100	4.045	15.0
100	3.608	15.0
100	5.391	14.86
100	2.512	13.67
100	43.149	12.0
100	41.175	12.67
100	43.176	13.17
100	45.6	12.14
100	44.745	12.0
100	37.673	12.83
100	40.904	12.83
100	43.112	12.71
100	41.411	12.33
100	42.855	12.33
100	52.448	13.33
100	54.22	14.83
100	53.814	14.0
100	55.346	14.17
100	53.788	14.71
100	52.473	14.0
100	52.056	13.0
100	52.886	13.0
100	42.907	12.17
100	39.45	12.17
100	49.302	13.0
100	55.012	13.17
100	54.165	12.17
100	56.095	12.33
100	56.1	12.0
100	55.653	13.14
100	56.167	13.33
100	50.794	12.0
100	52.495	12.86
100	56.084	12.86
100	54.407	13.0
100	53.57	13.0
100	55.206	12.83
100	52.93	12.57
100	50.176	12.5
100	25.037	12.5
100	20.76	12.0
100	23.749	12.0
100	30.137	13.0
100	34.451	12.5
100	34.097	13.43
100	29.1	12.67
100	31.269	12.83
100	36.336	13.29
100	36.54	13.83
100	36.674	12.5
100	31.36	13.0
100	34.302	12.0
100	35.56	12.83
100	36.348	13.33
100	36.715	12.83
100	34.432	12.29
100	41.653	13.83
100	36.405	14.17
100	32.59	13.5
100	32.78	13.14
100	41.232	12.67
100	45.149	13.17
100	43.003	13.83
100	46.699	12.86
100	49.085	13.83
100	47.363	14.5
100	55.083	14.0
100	48.945	14.14
100	61.426	12.0
100	66.803	12.14
100	69.28	12.67
100	66.689	14.0
100	71.06	12.57
100	70.057	13.17
100	68.399	12.71
100	70.935	13.5
100	71.674	12.33
100	72.341	13.43
100	71.017	12.0
100	66.457	13.0
100	67.933	12.67
100	65.936	12.67
100	65.577	12.29
100	72.463	13.33
100	69.944	13.0
100	65.388	13.83
100	71.546	13.71
100	68.334	13.5
100	67.024	14.29
100	65.606	15.0
100	35.388	12.0
100	67.638	12.43
100	69.286	12.5
100	67.202	12.33
100	65.495	12.33
100	66.544	12.57
100	68.069	12.33
100	66.601	13.17
100	68.166	13.33
100	68.095	12.57
100	67.402	12.5
100	64.973	12.0
100	65.528	13.29
100	66.358	12.17
100	63.316	12.0
100	63.158	12.5
100	34.286	12.33
100	30.289	12.83
100	26.425	13.83
100	24.068	12.33
100	26.016	13.17
100	30.421	12.0
100	29.018	13.17
100	35.898	12.5
100	32.53	13.0
100	33.614	13.5
100	32.228	12.14
100	30.101	13.83
100	33.184	12.17
100	33.457	13.14
100	33.113	12.33
100	30.159	12.0
100	30.961	13.5
100	32.021	12.0
100	28.908	12.33
100	30.331	13.33
100	34.145	12.71
100	32.271	12.33
100	29.214	13.33
100	29.006	13.17
100	29.137	13.29
100	24.663	12.83
100	24.672	12.0
100	26.007	12.17
100	25.846	13.0
100	20.856	12.83
100	22.043	12.67
100	36.372	13.67
100	43.754	14.17
100	36.318	12.0
100	67.489	12.17
100	67.861	12.57
100	68.092	12.17
100	66.893	12.71
100	67.8	13.33
100	69.612	13.83
100	69.427	13.67
100	69.017	13.57
100	70.488	13.0
100	67.711	12.83
100	66.565	13.5
100	67.905	12.67
100	68.935	13.71
100	67.942	12.33
100	69.305	12.67
100	68.089	12.0
100	67.769	12.17
100	66.799	12.14
100	68.714	12.17
100	62.357	12.83
100	27.8	12.33
100	26.204	12.0
100	37.312	13.33
100	42.948	13.17
100	34.809	13.0
100	42.445	13.57
100	37.978	13.67
100	27.365	13.0
100	33.024	13.0
100	27.492	13.83
100	34.7	13.83
100	33.123	12.83
100	42.562	13.5
100	37.656	12.14
100	45.609	13.17
100	35.174	12.0
100	41.518	12.0
100	40.944	12.0
100	28.725	12.0
100	34.474	12.17
100	36.075	12.33
100	29.718	12.0
100	31.165	12.33
100	10.35	12.17
100	10.412	12.0
100	0.001	12.0
100	0.001	12.0
100	0.001	12.0
100	0.001	12.57
100	0.001	12.67
100	0.001	13.5
100	0.001	14.0
100	0.001	14.83
100	0.001	13.57
100	0.001	15.0
100	0.001	14.33
100	0.001	13.83
100	0.001	14.0
100	0.001	13.0
100	0.001	13.33
100	0.001	12.33
100	0.001	12.29
100	0.001	13.83
100	0.001	12.83
100	0.001	15.0
100	0.001	12.57
100	0.001	15.0
100	0.001	14.83
100	0.001	12.67
100	0.001	13.5
100	0.001	12.0
100	0.001	12.29
100	0.001	12.0
100	0.001	13.14
100	0.001	13.29
100	0.001	13.0
100	0.001	14.17
100	0.001	14.14
100	0.001	13.17
100	0.001	13.33
100	0.001	12.67
100	0.001	12.33
100	0.001	13.0
100	0.001	14.17
100	0.001	12.5
100	23.369	14.0
100	22.818	14.0
100	23.971	14.83
100	16.672	12.67
100	17.588	13.83
100	14.862	12.83
100	14.685	12.71
100	14.446	13.0
100	16.009	13.67
100	19.06	14.67
100	20.983	14.83
100	21.023	15.0
100	19.634	15.0
100	22.7	15.0
100	18.4	15.0
100	16.194	14.14
100	13.49	12.5
100	11.022	12.67
100	9.36	12.29
100	11.174	13.17
100	13.58	13.33
100	9.847	12.17
100	16.762	13.0
100	15.024	13.33
100	18.665	14.17
100	18.291	13.83
100	17.175	13.43
100	18.412	13.17
100	18.849	13.0
100	12.106	12.67
100	15.875	12.83
100	12.938	13.14
100	17.037	14.33
100	21.416	15.0
100	22.698	15.0
100	24.41	15.0
100	23.613	15.0
100	23.411	15.0
100	24.855	15.0
100	24.592	14.86
100	24.899	15.0
100	23.081	14.83
100	22.449	14.86
100	21.511	14.17
100	22.504	14.83
100	21.069	13.67
100	24.306	14.43
100	24.721	14.83
100	23.849	14.67
100	22.503	15.0
100	23.539	14.57
100	22.001	15.0
100	21.913	15.0
100	20.757	15.0
100	22.317	15.0
100	22.107	15.0
100	21.7	14.83
100	21.482	15.0
100	23.278	15.0
100	23.267	15.0
100	23.961	15.0
100	23.416	15.0
100	23.039	15.0
100	22.852	15.0
100	23.196	15.0
100	24.033	15.0
100	23.987	15.0
100	23.658	14.8
100	23.847	14.86
100	21.683	15.0
100	22.767	14.83
100	23.179	15.0
100	22.58	15.0
100	21.693	15.0
100	23.561	15.0
100	22.599	14.5
100	20.302	14.83
100	19.962	15.0
100	18.185	13.67
100	21.4	13.86
100	24.03	14.17
100	21.872	15.0
100	21.363	14.29
100	23.951	14.5
100	23.583	14.33
100	23.699	15.0
100	24.659	15.0
100	24.691	15.0
100	24.339	15.0
100	22.937	14.83
100	22.781	14.71
100	22.671	14.67
100	22.693	14.17
100	20.196	13.17
100	22.271	13.14
100	21.373	13.17
100	21.943	13.0
100	21.589	13.0
100	22.831	13.67
100	22.217	12.71
100	19.118	12.5
100	10.352	12.0
100	12.926	12.0
100	10.841	12.0
100	10.232	12.0
100	5.9	13.33
100	7.764	14.0
100	7.957	14.0
100	9.452	15.0
100	6.928	14.5
100	8.144	14.33
100	6.961	13.71
100	8.073	14.83
100	7.502	14.5
100	7.905	14.67
100	9.463	14.67
100	8.224	14.29
100	6.323	13.67
100	7.166	14.33
100	7.176	13.67
100	6.744	13.43
100	4.653	12.0
100	4.83	13.0
100	3.995	12.33
100	4.253	12.86
100	5.279	13.17
100	4.781	12.83
100	4.612	12.83
100	5.25	12.57
100	4.4	12.33
100	0.002	12.33
100	0.004	14.0
100	0.004	12.17
100	0.005	14.83
100	4.866	14.83
100	8.919	15.0
100	8.595	14.33
100	6.546	14.0
100	7.901	14.0
100	4.695	12.83
100	5.398	14.33
100	4.685	14.0
100	5.738	13.0
100	4.401	12.43
100	3.736	12.17
