Config	Tput(Mbps)
O_Sp_90Mhz	75.1
O_Sp_90Mhz	74.029
O_Sp_90Mhz	73.569
O_Sp_90Mhz	76.38
O_Sp_90Mhz	73.317
O_Sp_90Mhz	78.501
O_Sp_90Mhz	68.604
O_Sp_90Mhz	65.705
O_Sp_90Mhz	62.959
O_Sp_90Mhz	63.228
O_Sp_90Mhz	64.186
O_Sp_90Mhz	63.69
O_Sp_90Mhz	57.236
O_Sp_90Mhz	60.45
O_Sp_90Mhz	56.959
O_Sp_90Mhz	62.362
O_Sp_90Mhz	64.092
O_Sp_90Mhz	67.128
O_Sp_90Mhz	65.425
O_Sp_90Mhz	58.08
O_Sp_90Mhz	61.218
O_Sp_90Mhz	60.366
O_Sp_90Mhz	57.139
O_Sp_90Mhz	66.24
O_Sp_90Mhz	62.272
O_Sp_90Mhz	55.32
O_Sp_90Mhz	54.181
O_Sp_90Mhz	49.82
O_Sp_90Mhz	60.228
O_Sp_90Mhz	61.219
O_Sp_90Mhz	68.461
O_Sp_90Mhz	65.465
O_Sp_90Mhz	58.382
O_Sp_90Mhz	66.37
O_Sp_90Mhz	81.329
O_Sp_90Mhz	76.178
O_Sp_90Mhz	68.785
O_Sp_90Mhz	56.636
O_Sp_90Mhz	54.258
O_Sp_90Mhz	54.694
O_Sp_90Mhz	63.389
O_Sp_90Mhz	64.416
O_Sp_90Mhz	67.638
O_Sp_90Mhz	67.75
O_Sp_90Mhz	63.755
O_Sp_90Mhz	68.262
O_Sp_90Mhz	58.038
O_Sp_90Mhz	66.847
O_Sp_90Mhz	58.72
O_Sp_90Mhz	59.335
O_Sp_90Mhz	65.012
O_Sp_90Mhz	61.322
O_Sp_90Mhz	64.029
O_Sp_90Mhz	58.48
O_Sp_90Mhz	61.828
O_Sp_90Mhz	64.377
O_Sp_90Mhz	69.307
O_Sp_90Mhz	58.907
O_Sp_90Mhz	63.295
O_Sp_90Mhz	62.833
O_Sp_90Mhz	63.255
O_Sp_90Mhz	66.62
O_Sp_90Mhz	63.649
O_Sp_90Mhz	64.141
O_Sp_90Mhz	64.372
O_Sp_90Mhz	62.793
O_Sp_90Mhz	64.154
O_Sp_90Mhz	62.599
O_Sp_90Mhz	67.095
O_Sp_90Mhz	62.159
O_Sp_90Mhz	52.045
O_Sp_90Mhz	58.338
O_Sp_90Mhz	56.985
O_Sp_90Mhz	52.388
O_Sp_90Mhz	52.689
O_Sp_90Mhz	61.702
O_Sp_90Mhz	65.617
O_Sp_90Mhz	56.415
O_Sp_90Mhz	52.773
O_Sp_90Mhz	49.846
O_Sp_90Mhz	50.945
O_Sp_90Mhz	59.908
O_Sp_90Mhz	60.345
O_Sp_90Mhz	55.46
O_Sp_90Mhz	49.541
O_Sp_90Mhz	54.397
O_Sp_90Mhz	52.441
O_Sp_90Mhz	50.765
O_Sp_90Mhz	53.627
O_Sp_90Mhz	58.774
O_Sp_90Mhz	56.556
O_Sp_90Mhz	68.213
O_Sp_90Mhz	58.97
O_Sp_90Mhz	57.314
O_Sp_90Mhz	57.853
O_Sp_90Mhz	69.497
O_Sp_90Mhz	68.913
O_Sp_90Mhz	74.209
O_Sp_90Mhz	77.005
O_Sp_90Mhz	69.152
O_Sp_90Mhz	66.851
O_Sp_90Mhz	72.721
O_Sp_90Mhz	73.043
O_Sp_90Mhz	82.988
O_Sp_90Mhz	83.101
O_Sp_90Mhz	67.652
O_Sp_90Mhz	74.126
O_Sp_90Mhz	76.088
O_Sp_90Mhz	75.726
O_Sp_90Mhz	76.815
O_Sp_90Mhz	81.417
O_Sp_90Mhz	82.076
O_Sp_90Mhz	78.698
O_Sp_90Mhz	81.513
O_Sp_90Mhz	86.953
O_Sp_90Mhz	82.129
O_Sp_90Mhz	77.069
O_Sp_90Mhz	81.027
O_Sp_90Mhz	78.167
O_Sp_90Mhz	75.911
O_Sp_90Mhz	77.714
O_Sp_90Mhz	77.43
O_Sp_90Mhz	73.647
O_Sp_90Mhz	65.753
O_Sp_90Mhz	70.953
O_Sp_90Mhz	65.881
O_Sp_90Mhz	67.741
O_Sp_90Mhz	71.266
O_Sp_90Mhz	69.663
O_Sp_90Mhz	62.923
O_Sp_90Mhz	57.437
O_Sp_90Mhz	49.173
O_Sp_90Mhz	55.259
O_Sp_90Mhz	52.188
O_Sp_90Mhz	66.558
O_Sp_90Mhz	82.439
O_Sp_90Mhz	82.645
