TP (Gbps)	Config
0.8102039999999999	US_Att
0.827385	US_Att
0.810065	US_Att
0.744696	US_Att
0.780433	US_Att
0.881735	US_Att
0.818111	US_Att
0.6708310000000001	US_Att
0.80744	US_Att
0.867874	US_Att
0.842698	US_Att
0.74886	US_Att
0.912464	US_Att
0.8244199999999999	US_Att
0.76398	US_Att
0.887726	US_Att
0.7797419999999999	US_Att
0.867936	US_Att
0.8276979999999999	US_Att
0.8616330000000001	US_Att
0.912361	US_Att
0.8424790000000001	US_Att
0.810821	US_Att
0.785737	US_Att
0.814885	US_Att
0.804539	US_Att
0.752842	US_Att
0.7975059999999999	US_Att
0.74694	US_Att
0.814751	US_Att
0.784165	US_Att
0.787712	US_Att
0.744229	US_Att
0.8475839999999999	US_Att
0.762432	US_Att
0.839741	US_Att
0.693183	US_Att
0.570385	US_Att
0.628865	US_Att
0.822476	US_Att
0.749104	US_Att
0.745424	US_Att
0.730938	US_Att
0.8716929999999999	US_Att
0.750559	US_Att
0.72629	US_Att
0.56643	US_Att
0.407582	US_Att
0.8132699999999999	US_Att
0.84975	US_Att
0.740789	US_Att
4.7e-05	US_Att
4.8e-05	US_Att
4e-05	US_Att
5.5e-05	US_Att
7.4e-05	US_Att
6.4e-05	US_Att
7.000000000000001e-05	US_Att
8.1e-05	US_Att
8.1e-05	US_Att
7.9e-05	US_Att
7.5e-05	US_Att
7.4e-05	US_Att
6.4e-05	US_Att
3.3e-05	US_Att
3.7e-05	US_Att
6.2e-05	US_Att
8.5e-05	US_Att
7.6e-05	US_Att
5.6e-05	US_Att
7.7e-05	US_Att
7.7e-05	US_Att
6.6e-05	US_Att
8.3e-05	US_Att
8.5e-05	US_Att
5.2e-05	US_Att
6.4e-05	US_Att
5.6e-05	US_Att
8.1e-05	US_Att
6.6e-05	US_Att
9.4e-05	US_Att
5.4e-05	US_Att
7.000000000000001e-05	US_Att
4e-05	US_Att
9.3e-05	US_Att
5.4e-05	US_Att
5.6e-05	US_Att
5.5e-05	US_Att
2.9e-05	US_Att
6.2e-05	US_Att
5.5e-05	US_Att
4.9000000000000005e-05	US_Att
7.000000000000001e-05	US_Att
6.7e-05	US_Att
5.5e-05	US_Att
6.2e-05	US_Att
5.4e-05	US_Att
6.3e-05	US_Att
5.2e-05	US_Att
6.6e-05	US_Att
6.7e-05	US_Att
8.7e-05	US_Att
7.000000000000001e-05	US_Att
6.7e-05	US_Att
9.900000000000001e-05	US_Att
0.000102	US_Att
8.5e-05	US_Att
5.8e-05	US_Att
5.9999999999999995e-05	US_Att
6.7e-05	US_Att
7.7e-05	US_Att
7.4e-05	US_Att
8.999999999999999e-05	US_Att
6.8e-05	US_Att
9.3e-05	US_Att
8.5e-05	US_Att
7.000000000000001e-05	US_Att
2.8e-05	US_Att
1.4999999999999999e-05	US_Att
2.1000000000000002e-05	US_Att
1.6e-05	US_Att
8.999999999999999e-06	US_Att
5e-06	US_Att
1.4e-05	US_Att
6e-06	US_Att
8e-06	US_Att
1.3e-05	US_Att
1e-05	US_Att
3.1e-05	US_Att
1.4999999999999999e-05	US_Att
1.7999999999999997e-05	US_Att
2.7e-05	US_Att
0.363828	US_Att
0.411419	US_Att
0.259445	US_Att
0.277935	US_Att
0.269646	US_Att
0.33913099999999996	US_Att
0.393396	US_Att
0.360962	US_Att
0.353896	US_Att
0.35000099999999995	US_Att
0.374653	US_Att
0.317742	US_Att
0.300639	US_Att
0.408559	US_Att
0.324876	US_Att
0.378726	US_Att
0.317094	US_Att
0.377475	US_Att
0.35658300000000004	US_Att
0.436739	US_Att
0.38977300000000004	US_Att
0.35253500000000004	US_Att
0.29347300000000004	US_Att
0.340711	US_Att
0.296464	US_Att
0.38611700000000004	US_Att
0.401611	US_Att
0.335053	US_Att
0.365546	US_Att
0.352433	US_Att
0.33114499999999997	US_Att
0.32852	US_Att
0.39082799999999995	US_Att
0.365642	US_Att
0.39550799999999997	US_Att
0.334639	US_Att
0.387365	US_Att
0.392397	US_Att
0.31116699999999997	US_Att
0.405207	US_Att
0.398346	US_Att
0.411382	US_Att
0.365244	US_Att
0.339549	US_Att
0.333286	US_Att
0.369433	US_Att
0.36247500000000005	US_Att
0.28539499999999995	US_Att
0.403874	US_Att
0.372053	US_Att
0.329075	US_Att
0.34774299999999997	US_Att
0.366254	US_Att
0.36223	US_Att
0.320549	US_Att
0.44248899999999997	US_Att
0.397997	US_Att
0.358279	US_Att
0.38389	US_Att
0.38399900000000003	US_Att
0.338902	US_Att
0.27142099999999997	US_Att
0.413068	US_Att
0.293379	US_Att
0.022541000000000002	US_Att
0.321839	US_Att
0.345618	US_Att
0.363131	US_Att
0.07608100000000001	US_Att
0.373389	US_Att
0.072549	US_Att
0.00363	US_Att
0.005301	US_Att
0.20194499999999999	US_Att
0.376299	US_Att
0.294813	US_Att
0.35980399999999996	US_Att
0.297104	US_Att
0.36242599999999997	US_Att
0.284803	US_Att
0.357062	US_Att
0.34964999999999996	US_Att
0.34125700000000003	US_Att
0.338931	US_Att
0.320967	US_Att
0.265195	US_Att
0.32120800000000005	US_Att
0.324049	US_Att
0.278973	US_Att
0.38566300000000003	US_Att
0.32837700000000003	US_Att
0.307373	US_Att
0.231806	US_Att
0.327536	US_Att
0.252361	US_Att
0.32516	US_Att
0.081423	US_Att
0.349584	US_Att
0.32532900000000003	US_Att
0.372338	US_Att
0.26004700000000003	US_Att
0.374502	US_Att
0.339386	US_Att
0.376789	US_Att
0.349991	US_Att
0.35109199999999996	US_Att
