Tput(Mbps)	config
927.502	V_It_90Mhz
959.551	V_It_90Mhz
851.586	V_It_90Mhz
857.082	V_It_90Mhz
880.943	V_It_90Mhz
884.259	V_It_90Mhz
863.163	V_It_90Mhz
794.603	V_It_90Mhz
861.014	V_It_90Mhz
955.136	V_It_90Mhz
990.006	V_It_90Mhz
897.658	V_It_90Mhz
903.906	V_It_90Mhz
971.623	V_It_90Mhz
914.415	V_It_90Mhz
881.717	V_It_90Mhz
945.863	V_It_90Mhz
972.843	V_It_90Mhz
912.992	V_It_90Mhz
882.472	V_It_90Mhz
1014.178	V_It_90Mhz
977.777	V_It_90Mhz
960.785	V_It_90Mhz
882.16	V_It_90Mhz
638.837	V_It_90Mhz
589.083	V_It_90Mhz
882.433	V_It_90Mhz
613.318	V_It_90Mhz
706.737	V_It_90Mhz
880.051	V_It_90Mhz
968.633	V_It_90Mhz
967.137	V_It_90Mhz
865.583	V_It_90Mhz
827.276	V_It_90Mhz
793.334	V_It_90Mhz
771.374	V_It_90Mhz
891.06	V_It_90Mhz
854.625	V_It_90Mhz
956.685	V_It_90Mhz
813.308	V_It_90Mhz
858.487	V_It_90Mhz
856.884	V_It_90Mhz
857.022	V_It_90Mhz
896.385	V_It_90Mhz
807.349	V_It_90Mhz
914.575	V_It_90Mhz
856.457	V_It_90Mhz
854.355	V_It_90Mhz
818.253	V_It_90Mhz
900.43	V_It_90Mhz
877.162	V_It_90Mhz
859.853	V_It_90Mhz
861.398	V_It_90Mhz
770.174	V_It_90Mhz
824.177	V_It_90Mhz
891.099	V_It_90Mhz
764.637	V_It_90Mhz
981.54	V_It_90Mhz
924.659	V_It_90Mhz
887.458	V_It_90Mhz
1037.339	V_It_90Mhz
931.855	V_It_90Mhz
911.373	V_It_90Mhz
936.075	V_It_90Mhz
884.12	V_It_90Mhz
864.777	V_It_90Mhz
957.156	V_It_90Mhz
839.653	V_It_90Mhz
931.317	V_It_90Mhz
878.709	V_It_90Mhz
859.033	V_It_90Mhz
975.077	V_It_90Mhz
898.809	V_It_90Mhz
854.498	V_It_90Mhz
871.426	V_It_90Mhz
886.424	V_It_90Mhz
763.453	V_It_90Mhz
804.38	V_It_90Mhz
791.952	V_It_90Mhz
851.131	V_It_90Mhz
783.342	V_It_90Mhz
854.043	V_It_90Mhz
895.442	V_It_90Mhz
857.41	V_It_90Mhz
913.073	V_It_90Mhz
856.721	V_It_90Mhz
831.546	V_It_90Mhz
863.596	V_It_90Mhz
814.436	V_It_90Mhz
879.264	V_It_90Mhz
912.653	V_It_90Mhz
848.579	V_It_90Mhz
935.407	V_It_90Mhz
841.202	V_It_90Mhz
830.46	V_It_90Mhz
852.573	V_It_90Mhz
896.417	V_It_90Mhz
817.621	V_It_90Mhz
864.647	V_It_90Mhz
960.71	V_It_90Mhz
853.692	V_It_90Mhz
933.735	V_It_90Mhz
777.756	V_It_90Mhz
885.681	V_It_90Mhz
878.066	V_It_90Mhz
816.405	V_It_90Mhz
810.88	V_It_90Mhz
856.606	V_It_90Mhz
850.806	V_It_90Mhz
765.009	V_It_90Mhz
827.588	V_It_90Mhz
887.991	V_It_90Mhz
842.787	V_It_90Mhz
883.214	V_It_90Mhz
926.531	V_It_90Mhz
900.941	V_It_90Mhz
846.182	V_It_90Mhz
781.379	V_It_90Mhz
853.855	V_It_90Mhz
883.505	V_It_90Mhz
870.6	V_It_90Mhz
888.971	V_It_90Mhz
850.583	V_It_90Mhz
983.312	V_It_90Mhz
830.117	V_It_90Mhz
605.173	V_It_90Mhz
901.506	V_It_90Mhz
896.782	V_It_90Mhz
839.992	V_It_90Mhz
837.208	V_It_90Mhz
832.45	V_It_90Mhz
922.876	V_It_90Mhz
816.34	V_It_90Mhz
564.704	V_It_90Mhz
652.68	V_It_90Mhz
804.792	V_It_90Mhz
778.022	V_It_90Mhz
830.666	V_It_90Mhz
741.74	V_It_90Mhz
809.779	V_It_90Mhz
826.744	V_It_90Mhz
691.073	V_It_90Mhz
606.584	V_It_90Mhz
751.861	V_It_90Mhz
640.896	V_It_90Mhz
648.365	V_It_90Mhz
764.058	V_It_90Mhz
637.275	V_It_90Mhz
647.569	V_It_90Mhz
735.326	V_It_90Mhz
846.792	V_It_90Mhz
893.915	V_It_90Mhz
891.922	V_It_90Mhz
848.458	V_It_90Mhz
836.376	V_It_90Mhz
756.683	V_It_90Mhz
776.524	V_It_90Mhz
845.575	V_It_90Mhz
836.351	V_It_90Mhz
952.045	V_It_90Mhz
768.306	V_It_90Mhz
898.925	V_It_90Mhz
879.079	V_It_90Mhz
758.632	V_It_90Mhz
874.808	V_It_90Mhz
890.994	V_It_90Mhz
967.121	V_It_90Mhz
854.744	V_It_90Mhz
939.01	V_It_90Mhz
931.947	V_It_90Mhz
818.787	V_It_90Mhz
908.022	V_It_90Mhz
984.298	V_It_90Mhz
861.629	V_It_90Mhz
828.739	V_It_90Mhz
839.331	V_It_90Mhz
950.991	V_It_90Mhz
844.972	V_It_90Mhz
934.753	V_It_90Mhz
873.253	V_It_90Mhz
895.688	V_It_90Mhz
577.116	V_It_90Mhz
880.792	V_It_90Mhz
618.392	V_It_90Mhz
820.433	V_It_90Mhz
792.441	V_It_90Mhz
780.314	V_It_90Mhz
